,id,price,floor,max_floor,year,type,total_square,kitchen_square,living_square,planning,rooms,toilet,view,balcony,renovation,ceiling,elevator,parking,building,inside,court,additionally,source,consultant,name,address,description
10,2133090273,2900000,3.0,7.0,2 кв. 2022 года,Новостройки,42.0,14.0,18.0,изолированные,1 ,совмещенный,на улицу,лоджия,чистовая,2.9,1 pass 1 cargo,открытая во дворе,кирпичный,,детская площадка,,"

 Ксения
 
",Агентство,"1-к. квартира, 42 м², 3/7 эт.","ул. Кирова, д. 179","Хорошая квартира в кирпичном доме, лоджия на 2 окна, вся инфраструктура в шаговой доступности, сдача дома в августе. "
11,2191385920,6100000,5.0,12.0,,Вторичка,88.5,,,изолированные,3 ,несколько,,лоджия,требует ремонта,,2 pass ,открытая во дворе,кирпичный,,детская площадка,,"

 Екатерина Саенко (Суханова)
 
",Частное лицо,"3-к. квартира, 88,5 м², 5/12 эт.","Республика Хакасия, Абакан, ул. Ивана Ярыгина, 21","В продаже квартира площадью 88,5 м2, которая находится в центральном районе города. Кухня совмещена с залом, установлено французское окно. 3 раздельных комнаты, 2 сан.узла, 2 гардеробные.  Вся инфраструктура в шаговой доступности. "
12,2141332073,3100000,5.0,5.0,1992,Вторичка,52.9,8.6,,изолированные,2 ,раздельный,во двор,балкон,косметический,,0 pass 0 cargo,открытая во дворе,панельный,,,,"

 Этажи
 
",Агентство,"2-к. квартира, 52,9 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Пушкина, 156","Срочно продается двухкомнатная квартира улучшенной планировки. Несомненным преимуществом является наличие школы, детского сада и поликлиники в шаговой доступности. Удобные транспортные развязки обеспечат возможность быстро добраться в любой район города. Приобретая недвижимость с компанией «Этажи» вы экономите свое время и деньги, так как получаете комплекс услуг сразу нескольких специалистов: риелтора, юриста, ипотечного специалиста. При оформлении в нашей компании ипотеки вы можете сэкономить до 200 000 рублей. Полное юридическое сопровождение на всех этапах сделки "
13,2178248232,3100000,1.0,5.0,1999,Вторичка,53.0,9.0,36.0,,2 ,,,,,,,,панельный,,,,"

 Глобус-Недвижимость
 
",Агентство,"2-к. квартира, 53 м², 1/5 эт.","Республика Хакасия, Абакан, ул. Крылова, 96","Продам 2х комнатную квартиру в самом лучшем районе города для проживания семьи. - новая детская поликлиника;- в шаговой доступности 12 школа, 14 школа,новый лицей им. Н.Г. Булакина;- детский садик Ивушка, Елочка;Рассмотрим все виды оплаты. "
14,2191813037,4000000,5.0,5.0,,Вторичка,65.0,9.0,,изолированные,3 ,совмещенный,"на улицу, во двор",балкон,требует ремонта,,,открытая во дворе,панельный,,детская площадка,,"

 Татьяна
 
",Частное лицо,"3-к. квартира, 65 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Торосова, 12","Продам 3 у/п,совмещённый сан,узел,комнаты раздельные,тёплые полы(ванна,кухня).Требует ремонта.Собственник "
15,2205598444,3000000,5.0,5.0,,Вторичка,50.7,,,изолированные,2 ,раздельный,,балкон,,,,наземная многоуровневая,панельный,,детская площадка,,"

 *****
 
",Агентство,"2-к. квартира, 50,7 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Крылова, 106к4","Продам 2 у/п в обычном состоянии, окна ПВХ, балкон застеклен. Тихий район, в шаговой доступности новый лицей, детский сад. "
16,2114426594,2750000,1.0,5.0,1982,Вторичка,44.4,,,,2 ,,,,,,,,панельный,,,,"

 Глобус-Недвижимость
 
",Агентство,"2-к. квартира, 44,4 м², 1/5 эт.","Республика Хакасия, Абакан, Аскизская ул., 152","Продам 2-х комнатную квартиру (44,4 м.кв.) по ул. Аскизская, в панельном доме 1/5 этаж.Комнаты на разные стороны. Большие пластиковые окна обеспечивают достаточное количество солнечного света и свежего воздуха. Квартира теплая. На кухне установлена электрическая плита, дом не газифицирован. Санузел раздельный. Надежная металлическая дверь. Подъезд чистый, аккуратные вежливые соседи. Расположение квартиры дает большие возможности по перепланировке. Имеется собственная кладовая в подвальном помещении. Во дворе дома произведен ремонт дороги, добавились парковочные места , облагорожена детская площадка. Квартира отлично подойдет для проживания людей в возрасте и молодых семей с детьми – спокойный семейный район, развитая инфраструктура. В шаговой доступности: остановка, аптека, школа №9 и №26, детские сады «Машенька», «Настенька», магазины «Пятерочка», «Ролби». Для проведения досуга имеется кинотеатр, боулинг, детские развлекательные центры, каток, парк «Комсомольский», бассейн (на территории воинской части), общественная баня.Один собственник, документы готовы к сделке в любой день. Можно заезжать сразу после оформления сделки.Возможны любые варианты расчета. Поможем с оформлением ипотеки в любом банке. "
17,2177778209,3849000,3.0,5.0,1968,Вторичка,60.7,6.2,41.6,изолированные,3 ,раздельный,"на улицу, во двор",балкон,,2.5,0 pass 0 cargo,открытая во дворе,кирпичный,,детская площадка,,"

 Брокер Плюс — агентство недвижимости в Абакане
 
",Агентство,"3-к. квартира, 60,7 м², 3/5 эт.","Республика Хакасия, Абакан, ул. Кошурникова, 1","💖 УВАЖАЕМЫЙ ПОКУПАТЕЛЬ! Эта квартира рекламируется агентством недвижимости ""БРОКЕР ПЛЮС"" по поручению собственника, на основании соглашения об оказании услуг ✅. В качестве оплаты рассмотрим: — наличные — ипотеку — обмен на имеющуюся квартиру В объявлении есть ВИДЕОРОЛИК с подробным описанием — обязательно его посмотрите. ☝ КВАРТИРА ГОТОВА К ПЕРЕОФОРМЛЕНИЮ НА ВАШЕ ИМЯ. 📳 ЗВОНИТЕ АГЕНТУ ПРЯМО СЕЙЧАС! "
18,2166537933,4200000,5.0,5.0,1990,Вторичка,60.1,18.0,42.1,изолированные,4 ,раздельный,на улицу,балкон,евро,3.0,0 pass 0 cargo,за шлагбаумом во дворе,кирпичный,,детская площадка,мебель,"

 Николай
 
",Частное лицо,"4-к. квартира, 60,1 м², 5/5 эт.","Республика Хакасия, Абакан, Советская ул., 115",Хорошая семейная кв в центре города) 
19,2111685298,2800000,7.0,9.0,2021,Вторичка,39.0,9.0,,изолированные,1 ,совмещенный,"на улицу, во двор",лоджия,,2.7,1 pass 1 cargo,открытая во дворе,кирпичный,,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,"

 Ольга Александровна
 
",Агентство,"1-к. квартира, 39 м², 7/9 эт.","Республика Хакасия, Абакан, ул. Некрасова, 33",Новый домСданЧистовая тделка готова для поклейки обоев или покраскеНа полу идеально ровный пол бетонная стяжкаНАТЯЖНЫЕ ПОТОЛКИЛОДЖИЯ ЗАСТЕКЛЕННАЗакрытый двор 
20,2189657562,3300000,2.0,6.0,сдан,Новостройки,42.0,11.2,,изолированные,1 ,совмещенный,на улицу,лоджия,чистовая,,1 pass ,открытая во дворе,кирпичный,,"детская площадка, спортивная площадка",,"

 Дмитрий
 
",Частное лицо,"1-к. квартира, 42 м², 2/6 эт.","ул. Чертыгашева, д. 197В, корп. 1","Квартира в новом доме. Только сделан хороший дорогой ремонт. Полностью укомплектована новой техникой и мебелью. Кухня, гардеробная, большая лоджия. Планировалась для себя, но поменились планы. Не срочно. Агенства просьба не беспокоить. "
21,2134036785,2700000,5.0,5.0,1990,Вторичка,45.0,6.0,,изолированные,2 ,раздельный,"на улицу, во двор",балкон,косметический,,,,панельный,,,,"

 Жилфонд Абакан
 
",Агентство,"2-к. квартира, 45 м², 5/5 эт.","Республика Хакасия, Абакан, Пирятинская ул., 25","Отличная квартира в тихом, комфортном районе. Квартира в хорошем состоянии- заходи и живи. Свежий ремонт.  Рядом- школа, детский сад, развлекательный комплекс ""Ролби"", спортивный комплекс с бассейном и крытым катком, ДК Железнодорожников, парки. Обращайтесь. Сопроводим на всех этапах -от первого визита до подписания основного договора. "
22,2158005328,4600000,3.0,5.0,2010,Вторичка,61.0,11.0,32.0,изолированные,2 ,раздельный,во двор,лоджия,,2.7,0 pass 0 cargo,открытая во дворе,кирпичный,,"закрытая территория, детская площадка","кондиционер, гардеробная","

 Татьяна Глухих
 
",Агентство,"2-к. квартира, 61 м², 3/5 эт.","Республика Хакасия, Абакан, ул. Лермонтова, 20","Новостройка. Застройщик Жилстрой. 3й шикарный этаж. Рядом бассейн, новая школа прямо за домом. Парк Преображенский. Огромная лоджия. Удобная планировка. Остаётся угловая кухня с духовым шкафом и варочной поверхностью, кондиционер и холодильник Бош в случае необходимости. Ванна в кафеле от пола, до потолка. Есть гардеробная-кладовая. Потолки, стены вытянуты. На полу-линолеум. Рассматриваем ипотеку, наличные. Просто продажа. "
23,2187689288,1799000,3.0,5.0,,Вторичка,22.0,,,,студия ,,во двор,балкон,,,0 pass 0 cargo,открытая во дворе,кирпичный,,детская площадка,мебель,"

 Агентство недвижимости ЭВЕРЕСТ
 
",Агентство,"Квартира-студия, 22 м², 3/5 эт.","Республика Хакасия, Абакан, пр-т Дружбы Народов, 41А","Продается уютная компактная гостинка в новом доме. Окна ПВХ. Балкон во двор. Мебель вся остаётся в квартире. Ремонт хороший, новый. Документы готовы к сделке. Обременений нет. Помощь в одобрении ипотеки под низкую процентную ставку!!! Звоните!!!  "
24,2130597802,2500000,8.0,9.0,2021,Вторичка,34.8,,,изолированные,1 ,совмещенный,во двор,балкон,требует ремонта,2.8,1 pass 0 cargo,,монолитный,,детская площадка,,"

 Олег
 
",Частное лицо,"1-к. квартира, 34,8 м², 8/9 эт.","Республика Хакасия, Абакан, ул. Кирова, 206А","Я собственник! Однокомнатная квартира, сертификат на натяжные потолки, ровные полы, финишная отделка стен. Площадь квартиры указана без учета балкона! На все вопросы отвечу лично или по телефону. "
25,1749019596,4500000,3.0,5.0,,Вторичка,52.0,9.0,,изолированные,2 ,раздельный,на улицу,балкон,евро,,0 pass ,,панельный,,детская площадка,"мебель, бытовая техника","

 Юлия
 
",Частное лицо,"2-к. квартира, 52 м², 3/5 эт.","Республика Хакасия, Абакан, ул. Некрасова, 27","Здравствуйте!В квартире сделан отличный ремонт(делали всё для себя).Квартира теплая,светлая.Везде установлены окна ПВХ(выходят на одну сторону),балкон застеклен.Новым хозяевам остается вся мебель(новая встроенная кухня,диван,2 шкафа-купе,стол,стулья) и бытовая техника(встроенный холодильник,микроволновка,дух.шкаф,варочная панель,вытяжка,посудомоечная машина,все в отличном состоянии).Можно сразу въезжать и жить.Рядом(через дорогу) ТЦ Доминион,ТЦ Калина,гипермаркет Ролби,Аллея,кинотеатр.В шаговой доступности авт.остановка,аптеки,кафе,2 школы,садики,Черногорский парк с детской игровой площадкой для прогулок с ребенком.Квартира без обременений,1 собственник.Будем очень рады,если вас заинтересует наша квартира. "
26,2124290898,3200000,5.0,5.0,,Вторичка,44.0,,,изолированные,2 ,раздельный,во двор,балкон,дизайнерский,,,открытая во дворе,кирпичный,,детская площадка,"мебель, бытовая техника, гардеробная","

 Елена
 
",Агентство,"2-к. квартира, 44 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Чертыгашева, 112","квартира теплая, окна пластик, ремонт 2018 года, дорогие обои, полностью поменены трубы, батареи, балкон застеклен, все в отличном состоянии, заходи и живи, вложений не потребуется, собственник "
27,2123189564,2699000,4.0,5.0,,Вторичка,44.0,6.0,27.0,изолированные,2 ,раздельный,на улицу,балкон,косметический,,0 pass 0 cargo,открытая во дворе,панельный,,детская площадка,мебель,"

 Агентство недвижимости ЭВЕРЕСТ
 
",Агентство,"2-к. квартира, 44 м², 4/5 эт.","Республика Хакасия, Абакан, Трудовая ул., 43","Продается 2 ух комнатная квартира. Окна ПВХ. Сан. узел обшит панелями. В коридоре и на кухне натяжные потолки. В комнатах потолочная плитка. Новые межкомнатные двери. На полу линолеум. Балкон застеклен. Имеется кладовка. Рядом в шаговой доступности детские сады, школы, магазины, Аллея, ТД Доминион. Документы готовы к сделке. Помощь в одобрении ипотеки во всех банках под низкую процентную ставку!!! Звоните!!!! "
28,2173366618,3550000,5.0,5.0,1997,Вторичка,50.8,8.7,,изолированные,2 ,раздельный,на улицу,балкон,косметический,2.7,0 pass 0 cargo,открытая во дворе,панельный,,детская площадка,,"

 Этажи
 
",Агентство,"2-к. квартира, 50,8 м², 5/5 эт.","Республика Хакасия, Абакан, пр-т Дружбы Народов, 44","В продаже 2к квартира улучшенной планировки с душевной аурой.  Квартира и район идеальны для проживания.  В квартире сделан косметический район.  Изолированные друг от друга комнаты удобной планировки, просторная кухня, сан.узел раздельный, вместительная зона прихожей.  Большой балкон 4х4м. Светлая, уютная квартира готова к новым собственникам. Квартира подходит под ипотеку и более 5 лет в собственности. Отдельная площадка на 3 квартиры позволяет организовать место для хранения. Все соседи дружные и семейные. Сразу за домом с одной стороны гипермаркет ""Аллея"", тц ""Атриум"", с другой - новый парк Кораблик с детской площадкой для отдыха, детский сад ""Капитошка"". Недалеко Средняя общеобразовательная школа №24, ""Преображенский"" парк, в шаговой доступности множество магазинов, салонов, аптек. помощь в ипотеке, полное юридическое сопровождение. "
29,2190568307,3600000,7.0,10.0,2011,Вторичка,43.7,13.0,22.0,,1 ,раздельный,на улицу,балкон,евро,2.7,4 pass ,открытая во дворе,кирпичный,,детская площадка,кондиционер,"

 ольга
 
",Частное лицо,"1-к. квартира, 43,7 м², 7/10 эт.","Республика Хакасия, Абакан, пр-т Дружбы Народов, 52","Квартира с отличным ремонтом , хорошими соседями ! Просторная (при желании можно сделать отдельную комнату) "
30,2146032650,3550000,2.0,5.0,1972,Вторичка,47.9,5.8,,"смежные, изолированные",3 ,раздельный,"на улицу, во двор",балкон,евро,,,открытая во дворе,панельный,газоснабжение,детская площадка,"мебель, кондиционер","

 Риэлторская компания ""Компас""
 
",Агентство,"3-к. квартира, 47,9 м², 2/5 эт.","Республика Хакасия, Абакан, пр-т Дружбы Народов, 8","Ищет себе хозяев отличная 3-х комнатная квартира, светлая и ухоженная на самом лучшем 2 этаже в районе с развитой инфраструктурой - остановки общественного транспорта, магазины, парки, места досуга (АДМ, кафе, пиццерии), школы, детские сады, поликлиника, рынки - все в шаговой доступности. Двор утопает в зелени, чистый спокойный подъезд. Квартира длительное время находилась в одних бережных семейных руках, никогда не сдавалась в аренду. Санузел совмещен, оформлен современным кафелем. Окна ПВХ, балкон застеклен. Потолки натяжные, на стенах - обои, на полу - ламинат, в общем состояние - заходи и живи. В подарок будущим собственникам остается кухонный гарнитур, мебель в ванной комнате, шикарный диван в гостиной. Документы готовы, квартира ждет новых собственников с нетерпением! квартира счастливая и приносящая удачу! ;) Полное юридическое сопровождение сделки до полного ее завершения. Звоните - покажу и расскажу более подробно!    "
31,2087579126,6000000,2.0,7.0,2020,Вторичка,88.0,,,изолированные,3 ,раздельный,во двор,лоджия,дизайнерский,2.7,1 pass 1 cargo,открытая во дворе,кирпичный,,"детская площадка, спортивная площадка","мебель, бытовая техника, кондиционер, гардеробная","

 Екатерина
 
",Частное лицо,"3-к. квартира, 88 м², 2/7 эт.","Республика Хакасия, Абакан, ул. Чертыгашева, 197Вк3","Дом кирпичный, включая межкомнатные перегородки.В квартире свежий ремонт, закончен в августе 2020 г. Заменена проводка и отопление. Состояние квартиры на фото. Кондиционер. Остаётся кухня со встроенным холодильником и посудомойкой, вытяжка, духовой шкаф и варочная поверхность. Также останется стиральная машина и мебель на лоджии. В квартире установлен ""умный дом"", управление с мобильного телефона, различные сценарии освещения, защита от протечек и сигнализация о пожаре, контроль окон и дверей. На полу кварцвиниловая плитка. Потолок натяжной. Выполнена звукоизоляция потолка и смежных с соседями стен. Лоджия утеплена, теплый пол и плинтусные конвекторы. Видеодомофон и видеонаблюдение по периметру дома. Рассказывать можно много, есть фотографии в процессе ремонта. Ремонт делали для себя, не экономили на материалах. Один собственник, прописанных нет. Можно в ипотеку. Вопросы можно задать также в whatsap/viber. С продажей не торопимся, торга нет. "
32,1487044050,5000000,8.0,10.0,,Вторичка,78.0,9.0,,изолированные,4 ,раздельный,"на улицу, во двор",лоджия,требует ремонта,2.8,1 pass 0 cargo,открытая во дворе,панельный,,детская площадка,,"

 Анастасия
 
",Частное лицо,"4-к. квартира, 78 м², 8/10 эт.","Республика Хакасия, Абакан, ул. Кати Перекрещенко, 5","4-х комнатная квартира в центре города в панельном доме для молодой семьи: в шаговой доступности элитные школы города, детские сады, поликлиника, строящийся бассейн и т.д. Необходим лишь косметический ремонт. Квартира хоть и угловая, но очень тёплая. Соседи лишь с одной стороны. Межпанельные швы утеплены профессиональными альпинистами. В двух комнатах поменяна проводка, залиты полы, ламинат, натяжные потолки, утеплены уличные стены. "
33,2200472017,6300000,3.0,5.0,2019,Вторичка,70.0,9.8,,изолированные,3 ,раздельный,"на улицу, во двор",лоджия,косметический,2.7,,открытая во дворе,кирпичный,,детская площадка,"мебель, бытовая техника, панорамные окна","

 Наталья Тазмина
 
",Частное лицо,"3-к. квартира, 70 м², 3/5 эт.","Республика Хакасия, Абакан, ул. Некрасова, 31Б","Продам 3-к квартиру в центре города! Все в шаговой доступности (ТЦ Калина, Доминион, остановки, Сады, школы и т д)!Квартира с ремонтом, продаётся с мебелью и техникой частично! Чистая, ухоженная! Покупали для себя! "
34,2114162430,2300000,1.0,5.0,1978,Вторичка,47.0,6.0,32.0,,2 ,,,,,,,,панельный,,,,"

 Глобус-Недвижимость
 
",Агентство,"2-к. квартира, 47 м², 1/5 эт.","Республика Хакасия, Абакан, Красноярская ул., 6","В вашем внимание двух комнатная квартира. Распашонка комнаты изолированы. Квартира тёплая, солнечная, удобна в расположение. На объект сделана хорошая скидка на ремонт. Сам дом находится в спокойном районе города Абакана, рядом находится остановки во все направления города, зона отдыха и спорта, а также рынок и различные магазины. Документы прошли юридическую проверку и готовы к сделки. Рассмотрим любые варианты расчёта.  "
35,2134562223,3000000,3.0,5.0,1986,Вторичка,44.0,7.0,36.0,смежные,2 ,совмещенный,"на улицу, во двор",балкон,косметический,2.8,0 pass 0 cargo,,панельный,,"закрытая территория, детская площадка",,"

 Жилфонд Абакан
 
",Агентство,"2-к. квартира, 44 м², 3/5 эт.","Республика Хакасия, Абакан, Пирятинская ул., 17","Любите первым смотреть новые фильмы? Просторная квартира вблизи кинотеатра ждет вас! Федеральное агентство недвижимости Жилфонд предлагает к покупке двухкомнатную квартиру в престижном районе Абакана! Квартира светлая и уютная. Теплый дом комфорт-класса, во дворе хорошая детская площадка, застекленный балкон. Зимой тепло, летом прохладно!  Стены ванной облицованы кафелем. Установлена качественная сантехника. Высота потолков 2,8 метра. Удобное расположение. В пешей доступности находятся множество магазинов, шесть детских садов, школа № 26 с углубленным изучением отдельных предметов. Множество тренажерных залов и фитнес-центров. Подъезд чистый, соседи спокойные и жизнерадостные. Документы проверены юристом и готовы к сделке. Покупателям квалифицированно поможем с оформлением самой выгодной для вас ипотеки с нашими льготами у банков-партнеров. "
36,2185781496,2150000,3.0,10.0,,Вторичка,25.0,,,,студия ,совмещенный,на улицу,балкон,косметический,,,,кирпичный,,детская площадка,,"

 РИЭЛТОРСКАЯ КОМПАНИЯ ""ЛИДЕР""
 
",Агентство,"Квартира-студия, 25 м², 3/10 эт.","Республика Хакасия, Абакан, ул. Комарова, 24Б",Уютная квартира в новом доме в перспективном микрорайоне. Сан.узел совмещен.....Балкон застеклен Вся инфраструктура в шаговой доступности! Показ в любое время! 
37,2085619880,2700000,1.0,5.0,1970,Вторичка,40.0,6.0,25.7,изолированные,2 ,раздельный,"на улицу, во двор",нет,евро,2.6,0 pass 0 cargo,открытая во дворе,кирпичный,газоснабжение,детская площадка,"мебель, бытовая техника","

 Александр
 
",Частное лицо,"2-к. квартира, 40 м², 1/5 эт.","Республика Хакасия, Абакан, Пирятинская ул., 14","Собственник. Продажа 2-х комнатной квартиры. С возможностью сделать  под нежилое. Кирпичный дом, а не панельный, т. е. можно сделать под нежилое. Несущих стен в квартире нет, любая перепланировка. Хорошее месторасположение - центр района МПС, напротив рынка. Хорошая проходимость. Удобный подъезд, большое место для парковки напротив окон. Квартира тёплая, светлая,продаёться с мебелью и бытовой техникой остоётся опсолютно всё люстры шторы вплоть до кухоной посуды и одеял с подушками. . Только что сделан  ремонт. В квартире никто не живёт. Алюминиевые батареи с кранами, новая проводка с коробкой автоматов в квартире,заведён провод под электро плиту, большая разводка разеток, дополнительный свет. Пластиковые окна. Ванна и туалет в кафеле, раздельные. Новый унитаз. На полу новый линолиум, стены вытянуты, обои покрашены дорогой моющейся краской. Трубы и счётчики заменены. Соседи хорошие, спокойные. Вобще не слышно, в отличии от новостроек. Развитая инфраструктура, всё в шаговой доступности: остановка, магазины, рынок, стадион ""Локомотив"", ДК Железнодорожников, школа, детский сад. Рассмотрю обмен на автомобиль с вашей доплатой. "
