,lat,long,leisure_points_in_0.001,shop_points_in_0.001,amenity_points_in_0.001,crossing_points_in_0.001,natural_points_in_0.001,sport_points_in_0.001,building_points_in_0.001,historic_points_in_0.001,tourism_points_in_0.001,office_points_in_0.001,bus_points_in_0.001,healthcare_points_in_0.001,hotel_points_in_0.001,parking_points_in_0.001,catering_points_in_0.001,study_points_in_0.001
873,53.7341112,91.4215475,1,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0
876,53.734472,91.419046,8,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0
881,53.7343328,91.4375278,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0
912,53.7236976,91.4598845,2,0,3,0,16,0,36,0,0,0,0,0,0,0,0,3
915,53.7247827,91.4636641,2,0,3,1,12,0,28,0,0,0,1,1,0,0,0,0
916,53.7252206,91.462896,2,0,0,0,10,0,36,0,0,0,0,0,0,0,0,0
917,53.7246316,91.4623206,2,0,2,5,12,0,24,0,0,0,0,0,0,0,1,0
919,53.7225765,91.45161420000001,4,0,10,0,4,0,12,0,2,0,0,0,2,10,0,0
925,53.7242882,91.45859109999999,2,0,0,0,6,0,20,0,0,1,0,0,0,0,0,0
934,53.7237896,91.4554756,8,0,9,6,14,0,14,1,0,0,0,1,0,2,0,2
936,53.7234908,91.454467,8,1,14,1,13,0,14,0,0,0,0,2,0,4,0,2
939,53.7232281,91.4509418,6,0,6,0,11,0,12,0,0,0,0,0,0,6,0,0
940,53.723205,91.4500645,10,0,6,2,13,0,14,0,0,0,0,0,0,6,0,0
941,53.72130980000001,91.4373461,12,1,7,0,14,4,14,0,0,0,0,0,0,0,4,2
944,53.7211949,91.4361425,12,0,6,0,18,2,22,0,0,0,0,0,0,0,4,2
945,53.720974,91.4340071,14,0,3,5,18,0,22,0,0,1,0,1,0,0,1,0
947,53.72327019999999,91.4446609,4,0,2,0,22,2,26,0,0,1,0,0,0,0,0,0
948,53.7189644,91.4119709,1,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0
959,53.7148192,91.43193029999999,6,0,3,0,9,2,18,0,0,0,0,0,0,0,0,0
961,53.71681969999999,91.4313686,6,0,0,5,8,0,14,0,0,0,0,0,0,0,0,0
963,53.7173923,91.4312787,6,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0
964,53.7180567,91.4311014,6,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0
965,53.71894529999999,91.4307661,6,0,0,3,6,0,20,0,0,0,0,0,0,0,0,0
967,53.7251466,91.42973080000002,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0
975,53.728127,91.4289055,0,0,1,0,0,0,26,0,0,0,0,0,0,0,1,0
976,53.7220588,91.4300111,4,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
977,53.7229401,91.4297514,4,1,2,3,2,0,14,0,0,0,0,0,0,2,0,0
978,53.7254865,91.42887999999999,0,0,4,4,0,0,22,0,0,0,0,0,0,4,0,0
980,53.7225377,91.43015179999999,4,1,2,1,0,0,8,0,0,0,0,0,0,2,0,0
986,53.7368242,91.4256571,1,0,1,0,8,0,18,0,0,0,0,0,0,0,0,0
987,53.7364586,91.42441649999999,1,0,2,0,0,0,16,0,0,0,0,0,0,0,0,2
988,53.7388094,91.4226487,0,0,2,4,2,0,14,0,0,0,0,0,0,0,0,2
989,53.7406011,91.4198595,3,0,2,0,2,0,12,0,0,0,0,0,0,2,0,0
990,53.7396159,91.4225376,0,0,2,4,0,0,10,0,0,0,0,0,0,2,0,0
993,53.7400215,91.4178163,0,0,3,3,9,0,6,0,0,0,0,0,0,0,1,2
998,53.740039,91.4169129,1,0,2,1,2,0,12,0,2,0,0,0,2,0,0,2
999,53.74009,91.414461,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0
1006,53.7401002,91.4190017,3,0,1,1,5,2,10,0,0,0,0,0,0,0,1,0
1015,53.7071397,91.4051799,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1016,53.7038156,91.406131,0,4,1,2,0,0,18,0,0,0,0,0,0,0,0,0
1018,53.7024293,91.40695099999999,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0
1019,53.7001838,91.40612709999999,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1023,53.70075079999999,91.4073994,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
1025,53.6965637,91.4120494,2,0,1,1,4,0,10,0,0,0,1,0,0,0,0,0
1037,53.7199447,91.4622838,0,1,3,2,18,0,32,0,0,2,0,2,0,0,0,0
1040,53.7204695,91.4631701,0,1,2,1,12,0,24,0,0,2,0,2,0,0,0,0
1041,53.7252784,91.46078709999999,0,1,2,0,11,0,22,0,0,0,0,0,0,0,0,1
1056,53.723875,91.462031,4,0,2,8,10,0,28,0,0,2,1,0,0,0,1,1
1058,53.7255366,91.4603132,0,0,1,4,8,0,30,0,0,0,0,0,0,0,0,1
1073,53.7254245,91.46153009999999,0,1,2,0,11,0,36,0,0,0,0,0,0,0,0,1
1074,53.72731109999999,91.4608957,0,0,0,8,12,0,26,0,0,0,0,0,0,0,0,0
1076,53.7379581,91.4581728,0,0,0,0,7,0,26,0,0,0,1,0,0,0,0,0
1077,53.7420064,91.4577078,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0
1080,53.7441451,91.45808099999999,0,0,2,0,3,0,18,0,0,0,0,0,0,0,0,2
1081,53.744636,91.457826,0,0,2,0,4,0,18,0,0,0,0,0,0,0,0,2
1082,53.7432179,91.4580864,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0
1086,53.7422604,91.45627379999999,0,0,0,1,1,0,24,0,0,0,0,0,0,0,0,0
1087,53.7428809,91.4571125,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0
1090,53.74355970000001,91.45594419999999,0,0,2,3,5,0,22,0,0,0,1,0,0,0,0,2
1092,53.73806039999999,91.4565691,6,1,14,1,3,0,10,0,0,0,1,0,0,12,0,0
1100,53.7445812,91.45559019999999,2,0,2,2,6,2,12,0,0,0,0,0,0,0,0,2
1102,53.7456013,91.4567355,2,0,2,0,9,2,12,0,0,0,0,0,0,0,0,2
1106,53.73352800000001,91.4585336,0,0,0,4,2,0,26,0,0,0,0,0,0,0,0,0
1138,53.7149233,91.4621719,0,1,1,0,0,0,26,0,0,0,0,0,0,0,0,0
1141,53.7153921,91.46462919999999,0,0,0,0,10,0,36,0,0,0,0,0,0,0,0,0
1143,53.6939812,91.4347133,0,0,0,0,13,0,60,0,0,0,0,0,0,0,0,0
1144,53.7032803,91.43073369999999,0,0,0,2,4,0,54,0,0,0,0,0,0,0,0,0
1148,53.7247493,91.33833279999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,53.7102099,91.4781376,0,0,0,1,2,0,36,0,0,0,0,0,0,0,0,0
1151,53.7160629,91.4249007,2,0,4,4,21,0,4,0,0,0,1,0,0,4,0,0
1157,53.7171774,91.4264994,8,2,4,3,2,2,14,0,0,0,0,0,0,0,0,4
1160,53.718747,91.4260652,0,9,6,5,2,0,16,0,0,0,0,0,0,4,0,2
1162,53.7210444,91.4252673,4,0,2,4,0,0,16,0,0,1,0,0,0,2,0,0
1163,53.725282,91.4242088,0,0,6,4,2,0,16,0,0,0,0,0,0,6,0,0
1171,53.72696209999999,91.42297520000001,0,0,2,0,0,0,24,0,0,0,0,0,0,2,0,0
1172,53.7275208,91.42223949999999,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1173,53.726477,91.423591,2,0,4,5,0,2,18,0,0,0,0,0,0,4,0,0
1181,53.7202734,91.42377909999999,2,1,5,0,4,2,12,0,0,0,0,0,0,4,0,0
1182,53.7210853,91.42172020000001,6,0,2,0,5,2,22,0,0,0,0,0,0,2,0,0
1183,53.7210844,91.4229658,6,2,8,3,13,0,24,0,0,0,0,0,0,8,0,0
1189,53.7290258,91.4210026,4,0,1,1,0,0,22,0,0,0,0,0,0,0,0,0
1190,53.7284017,91.422536,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
1191,53.7221408,91.423149,4,2,4,7,4,2,14,0,0,0,0,0,0,4,0,0
1194,53.7290271,91.4194033,4,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0
1198,53.72187,91.4216579,6,0,2,0,2,2,16,0,0,0,0,0,0,2,0,0
1199,53.7304539,91.4196638,1,0,1,3,3,0,22,0,0,0,0,0,0,0,0,1
1201,53.7243958,91.4217549,0,11,5,0,0,0,4,0,0,0,0,0,0,4,0,0
1202,53.7243918,91.4217266,0,11,5,0,0,0,4,0,0,0,0,0,0,4,0,0
1216,53.7306097,91.4190344,1,0,0,0,21,0,16,0,0,0,0,0,0,0,0,0
1219,53.7236972,91.4234352,0,2,8,10,3,0,8,0,0,0,0,0,0,8,0,0
1307,53.7300919,91.4198234,2,0,1,3,1,0,28,0,0,0,0,0,0,0,0,1
