,lat,long,leisure_points_in_0.005,shop_points_in_0.005,amenity_points_in_0.005,crossing_points_in_0.005,natural_points_in_0.005,sport_points_in_0.005,building_points_in_0.005,historic_points_in_0.005,tourism_points_in_0.005,office_points_in_0.005,bus_points_in_0.005,healthcare_points_in_0.005,hotel_points_in_0.005,parking_points_in_0.005,catering_points_in_0.005,study_points_in_0.005
264,53.7386324,91.4331835,40,6,58,24,334,7,197,0,8,3,6,1,4,18,3,17
265,53.7383855,91.429597,39,6,48,33,387,9,145,1,6,1,3,2,2,15,1,11
267,53.7393984,91.4287987,33,11,46,41,325,7,163,1,6,0,7,3,2,15,1,11
271,53.7402338,91.4269691,32,10,37,44,310,9,172,1,2,0,7,3,0,9,1,13
272,53.74063280000001,91.4259403,28,9,50,40,353,11,183,1,1,0,6,3,0,19,4,14
274,53.74266,91.42043199999999,52,5,47,33,310,19,160,0,6,0,5,0,2,30,4,8
275,53.741615,91.4195287,39,5,54,30,230,13,166,0,6,0,3,0,2,36,4,8
299,53.7431543,91.42320989999999,52,7,47,31,381,18,181,0,4,0,6,0,0,26,3,8
300,53.74383820000001,91.41849719999999,43,5,45,13,298,12,138,0,6,0,3,0,2,30,4,4
305,53.7435249,91.42117449999999,50,5,47,26,343,17,156,0,4,0,6,0,0,34,4,4
323,53.744178,91.42249369999999,51,6,45,18,357,14,157,0,4,0,6,0,0,30,3,6
325,53.7437357,91.42160890000001,50,5,45,27,353,18,156,0,4,0,5,0,0,32,4,4
328,53.74330519999999,91.41905969999999,43,5,47,21,292,12,146,0,6,0,3,0,2,32,4,4
329,53.744121,91.41982639999999,43,5,41,16,314,15,134,0,4,0,4,0,0,28,4,2
332,53.74554930000001,91.4177424,33,6,33,11,261,8,96,0,4,0,3,0,0,26,0,0
344,53.74126769999999,91.4258396,32,8,46,28,345,13,191,1,1,0,6,3,0,19,3,10
374,53.6968421,91.4226585,8,2,8,5,61,3,1142,0,3,0,2,3,0,0,0,2
375,53.7028431,91.39508029999999,10,1,42,2,69,1,228,0,0,1,2,1,0,27,0,13
376,53.70242589999999,91.39444590000001,7,0,37,2,66,1,213,0,0,0,2,1,0,23,0,13
379,53.7018138,91.3967782,19,1,50,5,96,4,246,0,0,1,1,1,0,33,1,13
381,53.70331090000001,91.3957404,14,1,42,4,77,4,242,0,0,1,2,1,0,27,0,13
383,53.7182243,91.4763286,41,6,33,9,44,0,442,2,2,2,0,1,0,19,0,4
387,53.7174247,91.4754849,45,6,35,11,53,2,497,2,2,2,1,1,0,19,0,6
390,53.72550099999999,91.43136899999999,38,7,66,29,133,4,398,7,3,2,2,1,2,36,3,13
394,53.717988,91.434519,76,4,40,26,165,17,298,9,4,3,4,2,0,10,8,10
398,53.732929,91.4280309,32,7,47,24,242,8,326,1,1,2,2,1,0,25,2,11
399,53.7205786,91.4337388,82,7,42,32,226,15,334,9,2,2,3,2,0,10,7,14
400,53.721697,91.433368,79,7,44,26,231,15,333,9,2,2,3,1,0,10,7,15
409,53.723324,91.43302299999999,72,7,60,34,221,6,351,7,3,2,3,2,2,22,8,12
411,53.724629,91.432729,55,7,61,32,168,6,377,7,3,3,2,2,2,24,6,14
418,53.72548099999999,91.432464,48,7,66,30,151,6,376,7,3,3,2,2,2,30,4,15
425,53.7220026,91.4015187,3,10,10,5,71,3,308,0,0,1,0,0,0,4,0,2
428,53.7180107,91.44168619999999,57,7,58,28,261,12,335,3,8,3,6,0,4,12,5,19
430,53.718799,91.4415609,69,9,65,28,277,12,339,3,6,3,8,0,4,12,8,19
433,53.718517,91.440135,73,7,59,24,249,16,320,3,6,2,6,0,2,16,11,13
434,53.72288,91.44037499999999,93,11,65,42,355,15,349,1,4,4,2,1,2,14,15,16
436,53.723206,91.4395651,92,14,65,40,339,11,365,1,4,4,2,1,2,15,14,15
440,53.7284537,91.4384826,66,21,84,38,174,6,382,0,7,5,3,2,2,38,5,16
441,53.729282,91.43827399999999,52,22,86,34,112,4,360,0,7,5,4,3,2,40,5,14
445,53.7286893,91.4375343,58,17,91,37,143,7,362,0,6,5,2,3,2,44,5,16
446,53.729816,91.437243,47,19,88,23,91,5,347,0,7,4,3,3,2,42,5,15
458,53.7395137,91.4328053,36,9,65,29,323,5,228,1,8,3,5,2,4,18,3,21
460,53.735995,91.42515499999999,41,5,48,31,238,11,206,1,1,0,1,1,0,22,1,13
462,53.736112,91.424884,50,5,49,34,233,20,204,1,1,0,1,1,0,24,1,13
463,53.739194,91.43388829999999,38,8,61,28,315,7,222,0,8,4,7,1,4,18,3,18
464,53.7362069,91.42610719999999,39,7,49,23,298,9,200,1,1,0,1,2,0,20,1,15
466,53.7402455,91.4337444,40,15,73,27,305,7,271,0,8,3,4,2,4,22,3,24
467,53.739462,91.43507579999999,44,14,60,28,304,9,243,0,8,4,7,0,4,20,4,16
468,53.7405839,91.43557369999999,33,21,61,27,234,6,293,0,8,4,5,0,4,24,4,14
470,53.74427,91.435451,25,16,57,14,140,7,377,0,2,4,2,1,0,26,1,15
473,53.7415522,91.4354017,37,21,69,25,220,9,325,0,5,4,4,1,2,28,4,16
476,53.7409081,91.4368155,22,18,65,17,225,4,397,0,5,4,5,0,2,30,4,12
477,53.74080379999999,91.43464,38,20,66,27,247,9,287,0,8,3,4,1,4,22,3,18
485,53.7265218,91.4362088,70,13,83,35,244,9,420,0,3,4,0,3,2,39,5,16
486,53.72622399999999,91.4331622,49,7,73,30,142,4,380,0,3,2,2,3,2,38,4,11
491,53.72594700000001,91.43088399999999,33,8,66,28,102,5,408,2,3,2,2,1,2,38,3,13
493,53.725902,91.4298699,28,5,56,28,83,4,399,0,1,3,2,0,0,36,2,12
500,53.7276483,91.4365552,57,16,98,29,218,7,390,0,4,6,0,3,2,45,5,19
501,53.7274375,91.43747139999999,61,16,92,29,234,7,410,0,3,5,2,2,2,42,5,18
505,53.7277156,91.4379072,66,19,86,36,225,8,404,0,5,5,2,2,2,38,5,18
506,53.72689219999999,91.4353762,58,11,89,36,221,8,400,0,3,5,1,3,2,44,5,17
516,53.7267603,91.42811499999999,28,5,55,27,54,3,447,0,0,5,2,0,0,44,1,6
532,53.7263094,91.4282921,29,4,57,27,60,2,433,0,0,4,2,0,0,44,1,7
536,53.7266494,91.42654530000002,23,10,53,32,53,2,473,0,0,4,0,0,0,45,1,6
538,53.7254441,91.4248003,30,14,61,34,42,5,415,0,0,3,0,0,0,52,0,5
543,53.7262504,91.4244538,25,13,56,36,38,4,450,0,0,4,0,0,0,46,0,5
545,53.7259341,91.4255129,27,13,57,35,40,4,436,0,0,4,0,0,0,46,1,6
621,53.7235759,91.40459949999999,3,9,10,4,35,3,230,0,0,0,0,0,0,4,0,2
622,53.7258879,91.42513939999999,27,13,57,36,38,4,430,0,0,4,0,0,0,48,1,4
648,53.7274085,91.4352387,54,11,92,29,191,6,386,0,3,5,0,3,2,47,5,15
649,53.7298046,91.4336805,19,8,67,21,63,3,335,0,4,3,0,2,2,32,6,9
651,53.7373944,91.4393462,19,9,39,14,200,6,253,0,5,5,7,0,3,14,3,12
652,53.73979569999999,91.4435371,5,14,31,8,77,2,411,0,1,8,1,2,1,12,5,2
653,53.740886,91.4385229,20,15,55,16,190,4,482,0,5,4,5,0,3,26,4,8
656,53.740328,91.4397429,19,15,46,7,173,5,456,0,3,6,3,0,3,24,2,8
669,53.7385677,91.4393715,19,11,37,12,201,6,259,0,4,5,5,0,3,12,3,10
674,53.74592000000001,91.4394993,14,13,24,8,82,2,626,0,0,2,1,0,0,16,0,2
676,53.7386716,91.4388259,17,16,38,13,216,5,245,0,4,8,4,0,3,16,3,8
677,53.7403658,91.44382759999999,4,11,23,5,57,1,540,0,0,7,0,2,0,8,5,2
691,53.7395867,91.4392211,19,18,41,15,191,5,368,0,4,8,5,0,3,18,3,8
692,53.7417087,91.43897559999999,22,17,49,10,144,4,591,0,2,4,1,0,0,24,3,8
694,53.7419112,91.43799109999999,22,17,57,15,157,4,601,0,4,4,1,0,2,26,4,12
699,53.7422747,91.4394903,16,17,43,8,115,2,654,0,0,3,1,0,0,20,2,8
700,53.7452294,91.439146,16,14,30,8,108,2,646,0,0,2,2,0,0,18,0,4
708,53.744198,91.439815,16,14,28,9,106,2,688,0,0,2,1,0,0,18,0,2
726,53.7456214,91.4396156,14,13,25,8,84,2,656,0,0,2,1,0,0,16,0,2
754,53.6997434,91.42247789999999,8,2,6,5,51,3,1298,0,1,0,2,1,0,0,0,2
755,53.6992163,91.4229494,8,2,6,5,50,3,1334,0,1,0,2,1,0,0,0,2
757,53.7010824,91.4234242,8,1,3,6,43,3,1368,0,1,0,2,0,0,0,0,1
759,53.7067158,91.40444629999999,11,13,17,5,105,4,284,0,0,2,1,0,0,8,0,2
761,53.7056559,91.4039257,12,13,21,8,115,5,289,0,0,3,1,0,0,10,0,3
762,53.70543319999999,91.4029456,16,13,28,9,129,6,294,0,0,2,1,0,0,14,0,6
764,53.7065572,91.4035213,12,12,19,7,110,5,269,0,0,3,1,0,0,8,0,3
765,53.7066526,91.4026093,13,11,21,8,111,6,261,0,0,3,1,0,0,10,0,3
767,53.7060165,91.4022932,14,12,27,8,130,6,274,0,0,3,1,1,0,14,0,4
770,53.7050991,91.39957489999999,11,7,32,8,128,4,286,0,0,2,1,1,0,16,0,9
773,53.7050903,91.4011002,18,12,30,8,134,7,260,1,0,2,1,1,0,16,0,6
778,53.7064652,91.40062069999999,11,7,24,6,124,4,252,0,0,3,0,1,0,12,0,4
783,53.7170796,91.4777715,27,5,26,8,44,0,636,2,2,2,0,1,0,15,0,2
789,53.7173058,91.4747568,51,6,35,11,50,4,469,2,2,2,1,1,0,19,0,6
791,53.7185315,91.46191019999999,8,10,34,22,152,2,572,0,0,6,3,3,0,8,1,6
793,53.7348053,91.44125249999999,26,18,44,24,148,5,361,0,4,10,6,0,1,18,3,10
795,53.73657679999999,91.457111,12,5,38,12,50,2,606,0,0,1,4,0,0,32,0,2
801,53.7365375,91.4565985,12,5,38,14,48,2,646,0,0,1,4,0,0,32,0,2
812,53.7365875,91.4550345,10,5,37,17,36,0,748,0,0,0,5,0,0,32,0,3
814,53.7323861,91.4264712,32,6,41,19,215,8,424,1,1,2,2,1,0,22,2,9
819,53.7309559,91.4255804,37,6,54,13,134,9,449,1,0,3,2,0,0,39,1,7
820,53.732155,91.42452089999999,41,4,32,14,151,12,389,1,1,2,2,0,0,19,0,7
823,53.7319166,91.4231824,48,3,30,10,150,17,390,0,0,2,0,0,0,17,0,7
833,53.731696,91.420841,35,1,28,12,115,15,338,0,0,1,0,0,0,25,0,1
834,53.7310272,91.4195661,40,2,36,14,96,17,286,0,0,0,0,0,0,30,0,1
836,53.7311773,91.4212058,38,1,34,12,118,16,350,0,0,1,0,0,0,27,0,3
837,53.7302054,91.4173816,30,2,44,15,91,9,183,0,0,0,0,0,0,28,0,3
843,53.7351031,91.4349297,26,3,54,13,271,4,209,0,8,2,5,1,5,18,2,18
844,53.7314191,91.417052,38,4,50,19,93,14,197,0,0,0,0,0,0,30,2,3
865,53.7350704,91.43092209999999,41,9,52,37,353,6,220,1,4,0,5,2,2,23,1,11
867,53.7355043,91.4279603,38,8,55,31,307,7,228,1,3,0,3,2,2,22,1,17
869,53.73461100000001,91.425934,32,6,45,24,251,7,258,1,1,2,2,1,0,22,1,15
870,53.7347914,91.423515,45,3,40,27,176,20,265,1,1,1,1,1,0,22,1,11
873,53.7341112,91.4215475,41,1,36,20,153,20,324,0,0,0,0,0,0,27,0,5
876,53.734472,91.419046,44,2,37,21,156,20,236,0,0,0,0,0,0,28,0,5
881,53.7343328,91.4375278,22,16,60,28,238,4,257,0,9,6,6,1,3,18,3,16
912,53.7236976,91.4598845,15,3,55,45,201,1,510,1,0,8,6,6,0,18,1,6
915,53.7247827,91.4636641,11,4,24,29,152,1,652,0,2,6,6,6,2,0,1,6
916,53.7252206,91.462896,11,4,25,31,163,0,642,0,0,7,6,5,0,6,1,4
917,53.7246316,91.4623206,10,4,35,28,173,0,610,0,0,8,6,6,0,6,1,4
919,53.7225765,91.45161420000001,69,11,71,30,186,20,332,2,6,7,0,3,6,26,0,13
925,53.7242882,91.45859109999999,17,5,55,43,212,1,518,1,0,8,4,3,0,16,1,10
934,53.7237896,91.4554756,35,9,70,23,184,8,476,1,2,4,2,3,2,32,0,10
936,53.7234908,91.454467,45,10,68,21,181,12,420,1,4,5,0,3,4,34,1,9
939,53.7232281,91.4509418,69,9,78,26,207,23,329,2,6,8,0,3,6,28,5,13
940,53.723205,91.4500645,71,10,73,28,206,25,327,1,6,8,0,3,6,24,5,15
941,53.72130980000001,91.4373461,105,9,59,26,338,14,347,4,2,3,1,2,0,12,11,21
944,53.7211949,91.4361425,104,9,61,32,316,17,330,8,4,3,1,2,0,14,10,20
945,53.720974,91.4340071,88,6,42,25,245,15,323,9,2,3,3,1,0,12,8,12
947,53.72327019999999,91.4446609,89,11,74,57,336,17,368,1,6,7,2,2,4,14,11,15
948,53.7189644,91.4119709,25,9,21,15,169,1,579,0,0,4,0,1,0,6,0,3
959,53.7148192,91.43193029999999,34,5,28,14,75,11,336,2,1,1,3,1,0,8,1,9
961,53.71681969999999,91.4313686,56,4,35,27,111,13,310,9,1,2,3,1,0,10,2,9
963,53.7173923,91.4312787,64,4,43,27,119,13,300,9,1,3,3,2,0,12,2,11
964,53.7180567,91.4311014,68,12,45,28,124,15,302,9,1,3,3,2,0,12,2,11
965,53.71894529999999,91.4307661,75,14,47,31,128,20,307,9,1,3,5,1,0,12,2,11
967,53.7251466,91.42973080000002,33,4,55,25,97,4,407,6,1,3,2,0,0,34,1,13
975,53.728127,91.4289055,34,6,58,23,59,5,447,1,0,5,1,0,0,46,1,5
976,53.7220588,91.4300111,48,7,39,33,123,7,358,8,1,5,3,1,0,12,1,13
977,53.7229401,91.4297514,48,8,60,36,111,7,372,7,1,5,3,1,0,32,1,13
978,53.7254865,91.42887999999999,41,5,55,25,71,2,419,0,1,4,2,0,0,40,1,9
980,53.7225377,91.43015179999999,50,7,50,34,124,9,362,7,1,5,3,1,0,24,1,11
986,53.7368242,91.4256571,39,5,43,36,291,11,184,1,1,0,4,2,0,17,1,13
987,53.7364586,91.42441649999999,47,5,51,34,217,22,212,0,1,0,2,1,0,23,4,12
988,53.7388094,91.4226487,49,1,47,28,185,21,206,0,0,0,3,0,0,24,4,8
989,53.7406011,91.4198595,39,5,47,28,242,13,162,0,2,0,3,0,2,32,4,6
990,53.7396159,91.4225376,44,1,48,28,243,19,191,0,0,0,4,0,0,26,4,8
993,53.7400215,91.4178163,40,3,48,27,193,13,164,0,2,0,2,0,2,34,5,4
998,53.740039,91.4169129,33,2,42,30,119,8,160,0,2,0,1,0,2,30,5,2
999,53.74009,91.414461,11,2,19,7,108,0,100,0,2,0,0,0,2,12,2,2
1006,53.7401002,91.4190017,40,5,47,24,217,13,160,0,2,0,3,0,2,32,4,6
1015,53.7071397,91.4051799,11,10,17,5,94,2,280,0,0,2,1,0,0,10,0,2
1016,53.7038156,91.406131,19,15,25,6,120,6,340,0,0,0,1,0,0,14,0,4
1018,53.7024293,91.40695099999999,22,18,23,15,97,8,374,0,0,0,1,0,0,14,0,4
1019,53.7001838,91.40612709999999,33,19,42,16,99,10,320,1,0,0,1,0,0,19,0,12
1023,53.70075079999999,91.4073994,32,17,34,14,86,12,344,0,1,0,1,0,0,20,0,6
1025,53.6965637,91.4120494,21,4,27,9,95,8,500,0,1,0,3,3,0,14,0,3
1037,53.7199447,91.4622838,10,10,44,30,175,0,552,0,0,7,4,4,0,12,2,8
1040,53.7204695,91.4631701,15,9,41,27,176,1,552,0,0,7,6,5,0,8,1,10
1041,53.7252784,91.46078709999999,20,4,36,41,186,3,572,0,0,7,7,3,0,10,1,4
1056,53.723875,91.462031,10,6,37,30,179,0,562,0,0,8,6,6,0,8,1,4
1058,53.7255366,91.4603132,20,4,43,45,190,3,578,0,0,7,7,3,0,14,1,6
1073,53.7254245,91.46153009999999,12,1,34,31,180,3,592,0,0,7,7,4,0,8,1,4
1074,53.72731109999999,91.4608957,10,3,18,23,148,3,584,0,0,3,7,2,0,4,1,4
1076,53.7379581,91.4581728,12,1,34,4,70,2,499,0,0,1,4,0,0,28,0,2
1077,53.7420064,91.4577078,8,1,20,7,109,2,487,0,0,0,6,0,0,12,0,4
1080,53.7441451,91.45808099999999,2,0,4,6,142,2,324,0,0,0,4,0,0,0,0,2
1081,53.744636,91.457826,2,0,2,6,144,2,317,0,0,0,3,0,0,0,0,2
1082,53.7432179,91.4580864,2,0,4,6,137,2,414,0,0,0,4,0,0,0,0,2
1086,53.7422604,91.45627379999999,8,1,16,7,91,2,612,0,0,0,5,0,0,10,0,4
1087,53.7428809,91.4571125,2,0,8,7,120,2,527,0,0,0,4,0,0,2,0,4
1090,53.74355970000001,91.45594419999999,2,0,4,6,109,2,567,0,0,0,4,0,0,0,0,2
1092,53.73806039999999,91.4565691,10,3,38,9,52,0,620,0,0,1,4,0,0,32,0,2
1100,53.7445812,91.45559019999999,2,0,2,6,96,2,516,0,0,0,3,0,0,0,0,2
1102,53.7456013,91.4567355,2,0,2,5,125,2,324,0,0,0,2,0,0,0,0,2
1106,53.73352800000001,91.4585336,13,3,32,13,35,4,558,0,0,1,3,0,0,30,0,0
1138,53.7149233,91.4621719,9,17,13,16,114,3,612,0,0,0,2,0,0,2,0,8
1141,53.7153921,91.46462919999999,11,18,17,7,104,3,620,0,0,0,0,1,0,2,0,11
1143,53.6939812,91.4347133,3,0,2,4,171,0,1114,0,0,0,0,0,0,0,0,0
1144,53.7032803,91.43073369999999,2,2,6,23,75,2,1133,0,0,0,2,0,0,0,0,6
1148,53.7247493,91.33833279999999,0,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0
1149,53.7102099,91.4781376,2,0,4,7,15,0,772,1,0,1,0,0,0,2,0,0
1151,53.7160629,91.4249007,40,17,41,24,159,11,461,0,0,3,2,1,0,20,1,9
1157,53.7171774,91.4264994,44,16,46,30,157,13,369,0,0,4,4,1,0,20,1,13
1160,53.718747,91.4260652,50,19,53,39,175,13,349,0,0,4,4,1,0,28,1,13
1162,53.7210444,91.4252673,45,27,62,41,130,13,357,0,0,4,1,1,0,38,1,13
1163,53.725282,91.4242088,31,14,64,35,42,4,410,0,0,2,0,0,0,56,0,4
1171,53.72696209999999,91.42297520000001,25,12,61,30,26,6,412,0,0,2,0,0,0,52,0,3
1172,53.7275208,91.42223949999999,26,13,52,30,29,6,368,0,0,2,0,0,0,43,0,3
1173,53.726477,91.423591,24,13,62,30,31,4,436,0,0,3,0,0,0,54,0,3
1181,53.7202734,91.42377909999999,52,30,57,38,164,15,303,0,0,4,2,1,0,34,1,13
1182,53.7210853,91.42172020000001,46,22,61,44,133,11,344,0,0,2,1,1,0,44,1,7
1183,53.7210844,91.4229658,42,30,67,43,146,13,333,0,0,4,1,1,0,44,1,13
1189,53.7290258,91.4210026,38,10,64,21,82,10,304,0,0,2,0,0,0,55,0,3
1190,53.7284017,91.422536,28,13,61,20,70,7,356,0,0,3,0,0,0,51,0,5
1191,53.7221408,91.423149,40,28,72,42,122,13,333,0,0,4,0,1,0,50,1,11
1194,53.7290271,91.4194033,27,5,58,17,84,5,277,0,0,0,0,0,0,48,0,3
1198,53.72187,91.4216579,37,20,62,44,121,10,320,0,0,2,1,1,0,46,1,7
1199,53.7304539,91.4196638,41,1,38,12,96,16,298,0,0,0,0,0,0,30,0,3
1201,53.7243958,91.4217549,26,13,47,33,48,4,354,0,0,2,0,0,0,40,0,2
1202,53.7243918,91.4217266,24,13,47,33,48,4,352,0,0,2,0,0,0,40,0,2
1216,53.7306097,91.4190344,41,2,40,12,98,16,261,0,0,0,0,0,0,30,0,3
1219,53.7236972,91.4234352,40,19,72,36,63,12,365,0,0,2,0,0,0,58,0,5
1307,53.7300919,91.4198234,38,1,44,14,95,16,310,0,0,0,0,0,0,36,0,3
